,Ticker,Price_to_Earnings,Dividend_Yield,Dividend_Date,UNIX_Div_Date
819,LOW,16.837166,0.02,23-01-2024,1705968000.0
993,MMC,28.623022,0.0143,24-01-2024,1706054400.0
739,RY,12.705655,0.040799998,24-01-2024,1706054400.0
638,PFE,15.456284,0.0594,25-01-2024,1706140800.0
696,PFED.XC,15.416667,0.0596,25-01-2024,1706140800.0
175,MNDIL.XC,1029.7445,0.044099998,25-01-2024,1706140800.0
838,VCTL.XC,1970.4226,0.0437,25-01-2024,1706140800.0
174,MNDI.L,10.302919,0.0444,25-01-2024,1706140800.0
644,TXN,22.585602,0.0299,30-01-2024,1706572800.0
681,MS,16.557104,0.0398,30-01-2024,1706572800.0
348,COST,47.235023,0.0058999998,01-02-2024,1706745600.0
662,PAG.L,10.825757,0.0537,01-02-2024,1706745600.0
659,PAGL.XC,1084.8484,0.053600002,01-02-2024,1706745600.0
995,SRBD.XC,26.07903,0.024500001,08-02-2024,1707350400.0
935,SBUX,26.01704,0.024300002,08-02-2024,1707350400.0
807,SIED.XC,16.30808,0.0291,09-02-2024,1707436800.0
729,SMAWF,16.51699,0.029000001,09-02-2024,1707436800.0
922,TJX,26.810736,0.0139,14-02-2024,1707868800.0
55,MSFT,38.517036,0.0075,14-02-2024,1707868800.0
59,MSFD.XC,38.581226,0.0075,14-02-2024,1707868800.0
1106,STOHF,5.045045,0.041300002,14-02-2024,1707868800.0
195,LLY,114.00362,0.0083,14-02-2024,1707868800.0
623,AMGN,21.891258,0.0292,15-02-2024,1707955200.0
93,IMBL.XC,752.98804,0.078,15-02-2024,1707955200.0
94,IMB.L,7.521912,0.078099996,15-02-2024,1707955200.0
666,AMGD.XC,22.103634,0.0297,15-02-2024,1707955200.0
301,JNJD.XC,30.10204,0.0292,16-02-2024,1708041600.0
275,JNJ,30.423222,0.0294,16-02-2024,1708041600.0
731,AMAT,20.813812,0.0076,21-02-2024,1708473600.0
531,VMUK.L,8.316667,0.036,22-02-2024,1708560000.0
530,VMUKL.XC,831.9444,0.036,22-02-2024,1708560000.0
892,GOSD.XC,17.069456,0.029000001,28-02-2024,1709078400.0
603,QCOM,23.403374,0.0211,28-02-2024,1709078400.0
1129,FRCOF,37.178314,0.0085,28-02-2024,1709078400.0
646,QCID.XC,23.57,0.0215,28-02-2024,1709078400.0
702,GS,16.908573,0.028800001,28-02-2024,1709078400.0
921,BLQAD.XC,21.643833,0.0256,06-03-2024,1709683200.0
583,SAFEL.XC,870.1087,0.0394,07-03-2024,1709769600.0
585,SAFE.L,8.673913,0.039300002,07-03-2024,1709769600.0
987,ADP,28.502974,0.0235,07-03-2024,1709769600.0
902,KYCCF,45.134064,0.005,18-03-2024,1710720000.0
684,TTE,8.057325,0.0506,18-03-2024,1710720000.0
200,TSM,22.05664,0.0168,18-03-2024,1710720000.0
751,TTE.L,0.080152564,0.0504,20-03-2024,1710892800.0
744,TTEP.XC,8.056094,0.0507,20-03-2024,1710892800.0
680,TTFNF,8.064968,0.0498,20-03-2024,1710892800.0
991,CHGL.XC,2738.4617,0.0197,21-03-2024,1710979200.0
997,CHG.L,27.423079,0.0196,21-03-2024,1710979200.0
894,NPPXF,14.344444,0.0306,28-03-2024,1711584000.0
942,MBFJF,8.2970295,0.036,28-03-2024,1711584000.0
274,MAW.L,0.28429285,0.0032,28-03-2024,1711584000.0
160,RICO.L,0.13326654,0.0308,28-03-2024,1711584000.0
1047,TOELF,39.659878,0.0124,28-03-2024,1711584000.0
110,KNM.L,0.29185385,0.0139999995,28-03-2024,1711584000.0
1135,SHECF,19.24541,0.019,29-03-2024,1711670400.0
828,DTEGF,19.030302,0.033,11-04-2024,1712793600.0
881,DTED.XC,19.142561,0.0334,11-04-2024,1712793600.0
